,Empresa,Breve descrição / o que faz,Vertical sugerido,Driver sugerido,Justificativa,
,535homes,"A 535 Homes é uma startup brasileira que oferece gestão completa de imóveis para aluguel por temporada, com o objetivo de aumentar a rentabilidade dos proprietários. A empresa cuida da administração, limpeza, gestão de anúncios e todo o processo operacional, permitindo que os donos de imóveis lucrem mais sem ter mais trabalho ou custos adicionais. ",Economia Compartilhada,Gestão,"Realiza gestão completa de imóveis de temporada, cuidando de administração, limpeza, anúncios e relacionamento com hóspedes — atua na profissionalização da hospitalidade residencial.",
,anyLife,"A anyLife é uma proptech que une a necessidade de proprietários em gerir, alugar e rentabilizar acomodações, com a do morador de encontrar um local para ficar, contando com a infraestrutura de um lar. Geram rentabilidade sem dor de cabeça ao proprietário nas modalidades de locação short, mid e long stay, e para o morador uma forma simples de locar um imóvel pelo período que precisar.",Economia Compartilhada,Gestão,"Plataforma que integra proprietários e inquilinos em diferentes modalidades de locação (short, mid, long stay), oferecendo uma experiência de moradia flexível e rentável.",
,xtay,"A startup Xtay é uma plataforma de hospedagem que oferece apartamentos mobiliados para estadias de curta e média duração, com serviços de hotelaria incluídos, como limpeza e manutenção. A Xtay funciona de forma diferente do Airbnb, pois não apenas conecta proprietários a hóspedes, mas gerencia os imóveis e atua como o ""profissionalizador"" de unidades de investidores institucionais, como fundos e family offices. ",Economia Compartilhada,Gestão,"Startup que opera apartamentos mobiliados para estadias curtas e médias, com gestão profissional e serviços hoteleiros, voltada a investidores institucionais.",
,LikeHome - Gestão e Hospedagens,"A empresa oferece uma experiência de hospedagem diferenciada, tanto para hóspedes quanto para proprietários. Sua abordagem prioriza a qualidade, a precificação justa, um atendimento excepcional e um retorno financeiro sólido. Uma organização dedicada a proporcionar segurança, tranquilidade e rentabilidade aos proprietários de imóveis em toda a região de João Pessoa.",Economia Compartilhada,Gestão,"Atua na gestão e operação de imóveis de temporada, priorizando experiência do hóspede e rentabilidade do proprietário.",
,OBA APARTMENTS,"A OBA APARTMENTS é uma startup brasileira focada no mercado imobiliário, especificamente em investimentos, visando investidores visionários que buscam oportunidades promissoras no setor. A empresa atua no contexto da economia compartilhada, utilizando tecnologia e marketing digital para conectar pessoas e empresas, oferecendo um novo significado para imóveis e espaços ociosos. O objetivo da OBA APARTMENTS é ser uma parceira para investidores no dinamismo do mercado imobiliário. ",Fintechs do Imobiliário,Transações,Proptech que utiliza tecnologia e marketing digital para conectar investidores e transformar imóveis ociosos em ativos de hospitalidade — combina investimento e uso compartilhado.,
,be my guest,"Com foco em oferecer soluções completas tanto para quem busca alugar um imóvel para temporadas quanto para os proprietários que desejam ter seus imóveis gerenciados. Atua no segmento de proptechs, facilitando o aluguel por temporada e oferecendo gestão completa da estadia. Com o objetivo de conectar o mercado da hospitalidade com o mercado imobiliário, criando soluções inovadoras e personalizadas. ",Economia Compartilhada,Gestão,"Plataforma que integra o mercado imobiliário e o de hospitalidade, oferecendo gestão completa e soluções personalizadas para locação por temporada.",
,Trevizzo,"A TrevizZo é pioneira no mercado brasileiro de gestão de imóveis para locação de curto e médio prazo. Com a missão de simplificar a vida dos proprietários, ajudando-os a economizar tempo e maximizar seus rendimentos. Por isso, na TrevizZo, oferecemos uma gestão completa e personalizada com Análise de mercado e precificação inteligente; Marketing e fotografia profissional; Gestão de hóspedes; Manutenção e limpeza e Atendimento 24/7.",Economia Compartilhada,Informação,"Especializada em gestão completa e precificação inteligente de locações curtas e médias, utilizando análise de mercado e automação.",
,Anfitriões de Aluguel,"A Anfitriões de Aluguel é uma startup brasileira fundada em 2018 em Florianópolis, Santa Catarina, que atua como uma rede de gestão de imóveis para aluguel de curta temporada em plataformas como o Airbnb e o Booking. A empresa oferece serviços completos para proprietários de imóveis, cuidando desde a preparação e divulgação dos imóveis nas plataformas de aluguel até a recepção dos hóspedes, a limpeza, a manutenção e a solução de problemas que possam surgir durante a estadia. ",Economia Compartilhada,Gestão,"Rede de gestão de imóveis de temporada com operação completa (anúncios, check-in, limpeza e manutenção), típica da economia da hospitalidade digitalizada.",
,welhome,A Welhome é uma startup brasileira de gestão imobiliária que utiliza tecnologia para gerenciar e otimizar imóveis para aluguel de curto prazo em plataformas como Airbnb e Booking. A empresa oferece aos proprietários e investidores uma solução para maximizar a rentabilidade de seus imóveis através de uma operação confiável e simplificada. ,Economia Compartilhada,Gestão,Proptech que gerencia imóveis para curto prazo com apoio tecnológico e foco em maximizar rentabilidade para investidores e proprietários.,
,quarto à vista,"A Quarto à Vista (ou Qavi) é uma startup proptech que atua no mercado imobiliário, focando em transformar imóveis em ativos financeiros rentáveis e seguros para proprietários, especialmente nas regiões do litoral e com potencial para geração de receita turística. A empresa compra imóveis, realiza reformas e os gerencia como unidades de aluguel por temporada, administrando a propriedade e garantindo um fluxo de receita para o proprietário. ",Fintechs do Imobiliário,Gestão,"Transforma imóveis de alto potencial turístico em ativos financeiros, realizando reformas e operação de aluguéis — atua na fronteira entre hospitalidade e investimento imobiliário.",
,Carpediem Homes,"A Carpediem Homes é uma startup brasileira de administração de imóveis de temporada, que utiliza a tecnologia para intermediar aluguéis por temporada, buscando maximizar a rentabilidade para os proprietários e melhorar a experiência do hóspede. Fundada em 2018, a empresa atua no mercado de aluguel de imóveis de temporada. ",Economia Compartilhada,Gestão,"Startup de administração de imóveis de temporada com foco em tecnologia, rentabilidade e experiência do hóspede.",
,Comprar&decorar,"Seus serviços tem como objetivo acelerar a comercialização de imóveis e ajudar investidores que não são do mercado imobiliário  e quem quer começar a investir nesta área. Unem profissionais da área do ramo imobiliário, marketing, arquitetos e designers, gestores de locação por temporada.",Imóvel Inteligente,Informação,Atua conectando profissionais do imobiliário e do design para acelerar a valorização e comercialização de imóveis — aproxima-se da lógica de serviços complementares à rentabilização do ativo imobiliário.,
,Omar do Rio,"Atuam há mais de 11 anos  no mercado de aluguel por temporada, sendo líderes no Rio de Janeiro. Transformam a gestão de imóveis, dedicada em oferecer uma experiência única e tranquila para hóspedes e proprietários.",Economia Compartilhada,Gestão,"Empresa consolidada na gestão de imóveis por temporada, oferecendo operação completa e experiência diferenciada para hóspedes e proprietários — integra serviço, gestão e hospitalidade.",
,Lobie,"A Lobie tem a missão de maximizar a rentabilidade de imóveis de baixa metragem, localizados em pontos estratégicos, através de moradia por assinatura ou aluguel de diárias.",Economia Compartilhada,Gestão,"Startup que atua com moradia por assinatura e locação de curta duração, maximizando rentabilidade de imóveis compactos em áreas estratégicas.",
,360 suites,"A startup 360 Suítes é uma empresa brasileira de atividades imobiliárias fundada em 2019, sediada em São Paulo, que oferece aluguel de apartamentos mobiliados para diversas necessidades de estadia, como moradia temporária ou de curta duração. Ela opera no setor imobiliário com foco em hospedagem flexível, confortável e segura, adaptando-se a pessoas que procuram um local para morar ou para estadias de alguns dias. ",Economia Compartilhada,Gestão,"Oferece apartamentos mobiliados para locação flexível, combinando conveniência, conforto e tecnologia — modelo típico de moradia como serviço.",
,tripmood,"A startup Tripmood é uma plataforma brasileira de reservas diretas que conecta viajantes a anfitriões de imóveis e experiências turísticas, sem intermediários ou taxas de reserva, permitindo uma interação direta entre quem busca a viagem e quem oferece a hospedagem ou atividade. O nome ""tripmood"" significa ""vontade de viajar"", refletindo a essência da plataforma em facilitar a conexão entre pessoas interessadas em turismo. ",Economia Compartilhada,Transações,"Plataforma de reservas diretas e conexão entre viajantes e anfitriões, eliminando intermediários e taxas — digitaliza o mercado de hospitalidade peer-to-peer.",
,SmartSharing,"A startup Smart Sharing é uma empresa brasileira fundada em 2017 que atua na área imobiliária, oferecendo soluções para o desenvolvimento e gestão de propriedades turísticas, com foco especial em modelos de negócio como a multipropriedade e o compartilhamento de imóveis. A empresa oferece desde consultoria para a viabilidade e planejamento de projetos até a administração e gestão de condomínios e hotéis, visando a criação de modelos de negócio rentáveis e sustentáveis para o futuro do setor. ",Fintechs do Imobiliário,Gestão,"Atuação no desenvolvimento e gestão de propriedades turísticas e multipropriedades, aliando consultoria, operação e sustentabilidade financeira.",
,BemVindo - imóveis por temporada,"A startup BemVindo é uma empresa especializada em gestão de imóveis para aluguel por temporada, oferecendo serviços tanto para proprietários que desejam rentabilizar suas propriedades, quanto para viajantes que buscam hospedagens convenientes. A BemVindo gerencia todo o processo, desde a criação de anúncios em plataformas como Airbnb e Booking.com, até a comunicação com os inquilinos, limpeza, e fornecimento de roupas de cama e banho, visando garantir praticidade e segurança para ambas as partes. ",Economia Compartilhada,Gestão,"Especializada em administração completa de imóveis de temporada, com gestão de reservas, limpeza e comunicação automatizada com hóspedes.",
,cyclinn,"Transformam imóveis em estadias de alto padrão com um modelo que une personalização e tecnologia, entregando rentabilidade para os investidores e experiência para os nossos viajantes. A gestão conta com expertise do mercado de investimentos: da curadoria e design dos espaços até à operação diária, traduzida em imóveis modernos, totalmente equipados e em localizações premium.",Fintechs do Imobiliário,Gestão,"Transforma imóveis em estadias de alto padrão, integrando design, curadoria e gestão tecnológica para maximizar retorno financeiro de investidores.",
,PINEAPPLES,"É uma agência especializada em alugueres de temporada e serviços de viagem no Brasil, oferecendo desde o planeamento da viagem até ao check-out, com foco em experiência personalizada. ",Economia Compartilhada,Transações,"Agência que une hospitalidade e experiência personalizada, oferecendo serviços de aluguel de temporada e viagens — forte ênfase na mediação de experiências.",
,,,,,,
,scaza,A Scaza é um plataforma para simplificar e aprimorar o gerenciamento das contas de consumo de sua carteira de imóveis. A Scaza surge como uma resposta à necessidade de eficiência no monitoramento de imóveis.,Imóvel Inteligente,Gestão,"Plataforma que automatiza o gerenciamento de contas de consumo de carteiras imobiliárias, otimizando eficiência e controle operacional — foco em gestão inteligente de ativos.",
,spacein,"Funciona como um gestor de espaços de trabalho para modelos híbridos e flexíveis. São uma empresa de tecnologia, dedicada a oferecer serviço digital para a organização do fluxo de pessoas dentro dos espaços de trabalho das empresas, coworkings e espaços compartilhados. Através de uma plataforma SaaS, customizada para espaços, organizam, o uso das estações de trabalho, salas de reunião, e demais áreas do escritório, entre os usuários dos seus espaços através de reservas agendadas por dia, horário e localização em planta baixa. ",Imóvel Inteligente,Gestão,"Sistema SaaS para organização e controle do uso de espaços corporativos e compartilhados, aplicando tecnologia de reservas e monitoramento de fluxo de pessoas.",
,Tag,"A Tag Express (ou simplesmente Tag) é uma startup brasileira, criada em 2016, que desenvolve soluções para o setor hoteleiro, focando na melhoria do relacionamento entre hotéis e seus hóspedes. Inicialmente focada em agilizar o processo de check-in com um sistema online, a empresa expandiu suas soluções para incluir ferramentas de gestão de satisfação e relacionamento, como pesquisas NPS e um CRM, integrados a sistemas de gestão de hotéis (PMS). ",Imóvel Inteligente,Informação,"Desenvolve soluções de gestão hoteleira e relacionamento com hóspedes, integrando check-in digital, CRM e pesquisas de satisfação — otimiza experiência e operação no setor de hospitalidade.",
,stays,"Com um sistema completo, ajuda administradores de aluguel por temporada a gerir imóveis, a tomar decisões estratégicas e aumentar reservas. O software permite a automatização de todas as áreas de um negócio de aluguel por temporada, integrando recursos de alto desempenho.",Economia Compartilhada,Gestão,"Software de automação e gestão de negócios de aluguel por temporada, com integração de reservas, canais e relatórios para gestores e administradores de imóveis.",
,PROGUEST,"A ProGuest é uma startup de tecnologia que oferece um software para otimizar a gestão de imóveis e processos operacionais, permitindo que empresas de administração e condomínios reduzam custos e aumentem a eficiência da sua equipe. A plataforma opera com um modelo de contratação por módulos e mensalidades baseadas no número de imóveis administrados, focando em segurança, inovação e transparência em suas soluções. ",Imóvel Inteligente,Gestão,"Plataforma tecnológica de gestão imobiliária modular, com foco em eficiência operacional e segurança na administração de imóveis e condomínios.",
,HQBeds,"A HQBeds é uma startup brasileira que desenvolve uma plataforma tecnológica completa (all-in-one) para a gestão de hostels, pousadas, hotéis e outras propriedades de hospedagem. A plataforma visa otimizar a gestão de propriedades hoteleiras, oferecendo ferramentas para automação de tarefas, gestão de reservas, pagamentos integrados, controle financeiro e relatórios de desempenho para ajudar os hoteleiros a aumentar a rentabilidade e a experiência do hóspede. ",Imóvel Inteligente,Gestão,"Plataforma all-in-one de gestão hoteleira, que integra reservas, pagamentos e relatórios financeiros — automatiza operações e dados da hospitalidade.",
,paypow,"A PayPow é uma startup que desenvolve uma plataforma tecnológica focada em melhorar a experiência de compra e pagamento em estabelecimentos gastronômicos e outros ambientes de hospitalidade, como hotéis e estádios. A solução oferece um aplicativo que permite aos clientes fazer e pagar seus pedidos online diretamente da sua mesa, sem precisar de garçons ou enfrentar filas, utilizando funcionalidades como cardápios digitais, QR Codes, geolocalização e diversas opções de pagamento como PIX, cartões e VR. ",Fintechs do Imobiliário,Transações,"Startup de pagamentos digitais em ambientes de hospitalidade e gastronomia, usando QR Code e PIX para eliminar intermediários e otimizar a experiência de consumo.",
,ANFITRIÃO PRIME,"O Anfitrião Prime é uma empresa de gestão de imóveis por temporada que cuida de tudo: anúncio, fotos profissionais, precificação inteligente, atendimento aos hóspedes e manutenção do imóvel. O objetivo é maximizar seus lucros e poupar o seu tempo.",Economia Compartilhada,Gestão,"Empresa de gestão de imóveis por temporada, oferecendo automação de anúncios, atendimento e manutenção para maximizar o lucro dos proprietários.",
,bhomy.com,É uma proptech pioneira no mercado de locação flexível e dedicada a administrar imóveis de investidores e proprietários em busca da melhor rentabilidade.,Economia Compartilhada,Gestão,"Proptech de locação flexível e administração de imóveis para investidores, oferecendo operação completa e precificação inteligente.",
,SCOD BRASIL,"A SCOD surgiu para atender à demanda das empresas que tenham muitos imóveis para gerenciar, sejam elas do ramo imobiliário ou não. É a primeira empresa brasileira 100% paperless desde a fundação e pioneiros no segmento de IPTU.",Imóvel Inteligente,Informação,"Solução digital para gestão documental e tributária de imóveis (como IPTU), 100% paperless — pioneira na digitalização da administração pública imobiliária.",
,HSystem,"Uma empresa brasileira focada em oferecer soluções tecnológicas para o setor de hotelaria. Ela desenvolve e comercializa um conjunto de sistemas que auxiliam hotéis, pousadas e resorts a gerir suas operações e a aumentar suas reservas, através de ferramentas como um motor de reservas próprio e soluções de gestão hoteleira. ",Imóvel Inteligente,Gestão,"Desenvolve softwares de gestão e reservas para hotéis, com motor próprio e ferramentas integradas — promove automação e eficiência de operação hoteleira.",
,Quadra Urbana,,Imóvel Inteligente,Informação,"Voltada para soluções de inteligência territorial e gestão urbana, aplicando tecnologia a processos de planejamento e operação de ativos imobiliários.",
,LocX,"A LocX é uma empresa de tecnologia e serviços especializados para Gestão de Imóveis Comerciais. Auxiliam empresas ou organizações empresariais a automatizarem o processo burocrático, eliminando suas perdas financeiras e reduzindo os prazos de execução das tarefas. Com serviços indicados para aquelas empresas com um grande número de unidades espalhadas pelo país, onde o imóvel alugado produz um trabalho interminável e burocrático. Simplificam todas essas tarefas, organizando e centralizando todas as informações em uma interface. O diferencial do produto é a simplicidade de operação da plataforma, métodos ágeis aplicados na gestão de contratos e uma solução que pode ser facilmente integrada aos softwares ERP mais reconhecidos. Facilitam a compra ou aluguel de espaços comerciais.",Imóvel Inteligente,Gestão,"Plataforma especializada em gestão e automação de imóveis corporativos, reduzindo burocracias e integrando dados contratuais e financeiros em sistemas ERP.",
,bitz,"O primeiro agente de IA Integrado ao PMS para otimizar operações, aumentar a rentabilidade. Com o compromisso de inovar, com softwares para pousadas, hotéis, resorts, motéis e restaurantes.",Imóvel Inteligente,Informação,"Solução de inteligência artificial aplicada à hotelaria, integrando IA ao PMS para otimizar operações e aumentar rentabilidade.",
,AYRTON,"Gestão de propriedades de aluguel de temporada com o Ayrton Software, a solução para proprietários e administradores. Com nossa plataforma intuitiva, pode-se gerenciar propriedades de maneira eficiente e receber atualizações em tempo real. Controle de todos os aspectos de propriedades, desde reservas até manutenção. ",Economia Compartilhada,Gestão,"Software de gestão de propriedades para aluguel de temporada, permitindo controle de reservas, manutenção e atualizações em tempo real.",
,,,,,,
,skedway,"A Skedway é uma startup de tecnologia e uma plataforma completa que ajuda empresas a gerenciar e otimizar a experiência de trabalho presencial e híbrido, oferecendo soluções para reserva de salas, estações de trabalho, estacionamento e lockers inteligentes, além de controle de acesso e monitoramento de ocupação. A plataforma utiliza tecnologia como Visão Computacional e inteligência artificial para automatizar processos, aumentar a eficiência e reduzir custos para as empresas. ",Imóvel Inteligente,Gestão,"Plataforma de gestão de espaços corporativos híbridos, utilizando IA e visão computacional para reserva, controle de acesso e eficiência no uso dos espaços.",
,neowrk.,"A Neowrk é uma startup de tecnologia brasileira que oferece uma plataforma integrada de software (SaaS), hardware e inteligência artificial para otimizar a gestão de espaços de trabalho, com foco no bem-estar e produtividade dos colaboradores. A empresa coleta dados reais de uso e ocupação para gerar relatórios e dashboards, permitindo que as empresas tomem decisões baseadas em evidências sobre seus ambientes de trabalho. ",Imóvel Inteligente,Informação,"Oferece plataforma integrada de hardware, software e IA para análise e otimização de uso de espaços de trabalho, com foco em bem-estar e produtividade.",
,where,"Where é uma plataforma digital para gestão inteligente de espaços de trabalho, permitindo que colaboradores reservem seu local antes de irem ao escritório.
Criada para ajudar empresas a equilibrar flexibilidade e produtividade, a Where otimiza a ocupação, reduz custos e oferece uma experiência mais organizada para todos.",Imóvel Inteligente,Gestão,"Plataforma digital para reserva e gestão inteligente de postos de trabalho, otimizando ocupação e custos em escritórios híbridos.",
,WiseOffices,"A WiseOffices é uma startup brasileira que oferece uma plataforma SaaS (Software as a Service) e um aplicativo para gerir e monitorar o uso de espaços de trabalho e outros ambientes em empresas, especialmente aquelas que adotam o modelo de trabalho híbrido. A plataforma permite que colaboradores reservem estações de trabalho, salas de reunião, vagas de estacionamento e outros recursos de forma rápida e autônoma. Para os gestores, a solução fornece relatórios detalhados sobre a ocupação e o uso dos espaços, ajudando a otimizar custos, aumentar a eficiência e tomar decisões estratégicas sobre o escritório. ",Imóvel Inteligente,Informação,"Sistema SaaS que gerencia uso e ocupação de ambientes corporativos, fornecendo dados analíticos e relatórios estratégicos para reduzir custos e otimizar espaços.",
,deskbee,"A Deskbee é uma startup brasileira líder em tecnologia para gestão de espaços corporativos e do trabalho híbrido, oferecendo uma plataforma completa para empresas gerenciarem reservas de mesas e salas, otimizarem o uso do escritório e integrarem suas operações, especialmente pós-pandemia. A empresa, que surgiu em 2019 como Desko e expandiu-se para o mercado internacional em 2022, atende centenas de grandes empresas e startups em diversos países. ",Imóvel Inteligente,Gestão,"Startup líder em gestão do trabalho híbrido e espaços corporativos, com plataforma integrada de reservas, controle e análise de ocupação.",
,,,,,,
,ARQUITETO DE BOLSO,"A startup Arquiteto de Bolso é uma plataforma online que democratiza o acesso à arquitetura e ao design de interiores, oferecendo consultorias de baixo custo e 100% digitais para reformar e decorar ambientes. Fundada em 2016, a empresa conecta clientes a arquitetos e designers, que, após uma sessão de consultoria de até duas horas, entregam uma planta 2D humanizada, perspectivas em 3D e uma lista de compras com produtos e seus orçamentos. ",Economia Compartilhada,Transações,"Plataforma que democratiza o acesso à arquitetura via consultorias digitais e personalizadas, integrando profissionais e clientes de forma acessível e remota.",
,archie,"Startup que conecta decoradores e arquitetos a clientes. Site reúne profissionais que dão consultoria especializada pela Internet e entregam propostas customizadas para quem quer repaginar ambientes sem precisar estourar o orçamento. Projetos a partir de R$ 299,00.",Economia Compartilhada,Transações,"Startup que conecta decoradores e arquitetos a clientes online, oferecendo consultorias e projetos sob demanda — modelo digital de serviço sob encomenda.",
,decoradornet,"É uma plataforma online de decoração que conecta consumidores a profissionais da área, oferecendo projetos de decoração personalizados e acessíveis, incluindo consultoria e projetos completos, através de um sistema de ""matching"" para encontrar o profissional ideal para cada cliente. A startup, fundada em 2017, democratiza o mercado de decoração, tornando-o mais acessível a um maior número de pessoas ao oferecer serviços 100% online. ",Economia Compartilhada,Transações,Plataforma que conecta consumidores a designers e arquitetos para projetos de decoração personalizados e acessíveis — modelo de marketplace de serviços criativos no setor de interiores.,
,ARCHA (studio/archa),"A startup Archa (ou Studio Archa) é uma plataforma tecnológica que funciona como uma maior plataforma de concorrência de arquitetura do mundo, conectando clientes (empresas e pessoas físicas) a arquitetos e designers de interiores para projetos de design e arquitetura. A empresa inova ao oferecer um modelo de concorrência que remunera os arquitetos pela elaboração de propostas, e utiliza um processo com curadoria tecnológica para selecionar as melhores opções de projetos. Além de conectar profissionais e clientes, a Archa também oferece o Archabox, uma ferramenta de especificação de produtos para design de interiores, e tem parcerias com grandes eventos e publicações do setor. ",Economia Compartilhada,Transações,"Plataforma de concorrência de arquitetura e design, que remunera profissionais por propostas e oferece ferramentas digitais de especificação — amplia a lógica de plataformização e curadoria tecnológica do setor.",
,Arquitetos por Hora,"A Arquiteto de Bolso (não ""Arquitetos por Hora"") é uma startup de arquitetura e design de interiores que visa democratizar o acesso a estes serviços, conectando clientes a profissionais por meio de uma plataforma digital para consultorias online e elaboração de projetos de reforma e decoração, com foco em acessibilidade financeira e praticidade. ",Economia Compartilhada,Transações,"Modelo de consultoria arquitetônica sob demanda, conectando profissionais e clientes por meio digital e democratizando o acesso a serviços de projeto.",
,BOUTIQUE LAB,"Uma Boutique de soluções em Arquitetura e Interiores. O Boutique Lab é um escritório de design de interiores com sede em São Paulo, especializado em arquitetura e design de interiores.",Imóvel Inteligente,Gestão,"Escritório tradicional de arquitetura e interiores com foco em design personalizado — embora utilize tecnologia, não opera como plataforma digital.",
,la decora,"A startup La Decora é uma empresa de projetos de decoração online que oferece um serviço automatizado e acessível, conectando clientes a designers e arquitetos para criar projetos personalizados. A plataforma utiliza tecnologia para tornar o processo mais rápido e econômico, permitindo que os usuários respondam a questionários de estilo e recebam o projeto do ambiente desejado. ",Economia Compartilhada,Transações,"Plataforma automatizada de projetos de decoração online, conectando clientes a profissionais e tornando o serviço mais rápido e econômico.",
,DECORA CLICK,A Decora Click é uma loja virtual de projetos que surgiu com o intuito de tornar o design e a arquitetura de interiores acessível a todos.,Economia Compartilhada,Transações,"Loja virtual de projetos de design e arquitetura acessíveis, baseada em um modelo digital e automatizado de entrega de projetos — foco na digitalização do serviço profissional.",
,projeto num clique,,Economia Compartilhada,Transações,"Atua como uma plataforma digital de projetos de interiores e arquitetura sob demanda, tornando o acesso ao design mais rápido e acessível — intermediando profissionais e clientes online.",
,,,,,,
,1COMODO,"A 1COMODO é uma startup focada em reformas rápidas de ambientes da casa, como um cômodo, com o objetivo de entregar o projeto e a execução em até dez dias úteis. A empresa é especializada em simplificar e padronizar o processo de reforma, cuidando de todas as etapas, desde a compra dos materiais até a finalização da obra, e tem como diferencial a entrega dentro do prazo ou a devolução do dinheiro ao cliente. ",Imóvel Inteligente,Gestão,"Startup de reformas rápidas que padroniza e automatiza o processo de projeto e execução, utilizando tecnologia e compromisso de prazo — traduz a industrialização do pequeno retrofit.",
,truliv,"A Truliv é uma startup de coliving que oferece soluções de alojamento flexíveis, como a eliminação de períodos de bloqueio (lock-in), o que permite aos residentes ter mais liberdade e definir um estilo de vida mais holístico, ajudando jovens a estabelecerem-se numa nova cidade. ",Economia Compartilhada,Gestão,"Startup de coliving com modelo flexível de moradia, oferecendo liberdade contratual e integração comunitária — típica do modelo de moradia como serviço.",
,lofteria,"A Lofteria é uma startup focada em reforma e construção de imóveis, oferecendo serviços para clientes que desejam executar seus projetos com a ajuda de profissionais qualificados e tecnologia para gerenciar o processo. Diferente da sua empresa-mãe, a Loft, que atua na compra e venda de imóveis, a Lofteria concentra-se em todo o processo de construção ou reforma, do planejamento à execução, com o objetivo de tornar a experiência do cliente mais fluida e satisfatória. ",Imóvel Inteligente,Gestão,"Startup de reformas e construção com apoio de tecnologia e gestão centralizada, voltada a clientes e investidores da Loft — digitaliza o ciclo de execução de obras.",
,akomod,Contam com profissionais para ajudar com o projeto de móveis planejados.,Imóvel Inteligente,Transações,Empresa que oferece consultoria e projeto de móveis planejados com suporte de profissionais especializados — atua na digitalização da relação cliente–projeto.,
,Corbu,"Gerenciamento de obras automatizado. Organização de projetos, arquivos e orçamentos, com a  integração de equipes de obras.",Imóvel Inteligente,Gestão,"Plataforma de gerenciamento automatizado de obras, integrando equipes, orçamentos e cronogramas — promove eficiência e rastreabilidade na execução.",
,vobi,"A Vobi é uma startup brasileira de tecnologia que oferece um software de gestão para obras e projetos voltado para o setor da construção civil, arquitetura e design de interiores. A plataforma centraliza o gerenciamento de projetos, a interação com clientes, o controle financeiro e o registro do dia a dia da obra em um único aplicativo, buscando simplificar e otimizar o fluxo de trabalho desses profissionais. ",Imóvel Inteligente,Gestão,"Software de gestão integrada de obras e projetos para arquitetura, design e construção, centralizando fluxos financeiros, técnicos e comunicacionais.",
,namecheap,"A Namecheap é uma empresa americana líder no registo de nomes de domínio e na oferta de serviços de hospedagem web. Fundada em 2000, a empresa fornece registo de domínios, certificados SSL, hospedagem de websites e e-mail, e ferramentas de segurança, com foco em preços acessíveis e serviço ao cliente. Além disso, a Namecheap também oferece VPN, ferramentas de marketing e um construtor de sites, sendo uma solução completa para a presença online de empresas e indivíduos. ",-,-,"Empresa internacional de hospedagem e infraestrutura digital, sem relação direta com o setor imobiliário. Apesar de oferecer tecnologia de suporte, não se enquadra nas verticais do mercado imobiliário.",
,spotlar,A plataforma atua com o proprietário para personalizar os acabamentos e interiores de seus imóveis nos empreendimentos de incorporadoras parceiras.,Imóvel Inteligente,Informação,"Plataforma que permite personalizar acabamentos e interiores em empreendimentos imobiliários, conectando incorporadoras e clientes — uma solução digital para personalização do produto imobiliário.",
,hup,"A HUP Startup é uma empresa brasileira especializada em inovação e tecnologia focada em segurança do trabalho, especialmente para a indústria e construção civil. ",Imóvel Inteligente,Gestão,"Startup de tecnologia voltada à segurança do trabalho em canteiros de obras, aplicando soluções digitais para controle e prevenção — foco em inovação construtiva e compliance operacional.",
,CONECTA REFORMA,"Reforma completa, desde o projeto até a entrega das chaves. Atua com profissionais na execução de suas obras.",Imóvel Inteligente,Gestão,"Plataforma de reformas completas com integração digital de fornecedores e profissionais, automatizando o processo do projeto à execução — parte da digitalização da cadeia construtiva.",
,VistoPRED,"A startup VistoPRED é uma empresa de tecnologia criada em 2017 com o objetivo de facilitar a gestão e o gerenciamento de vistorias e manutenções prediais através de um aplicativo. A plataforma oferece uma solução para digitalizar e automatizar processos, tornando as vistorias mais ágeis e precisas, e fornecendo um controle eficiente das ações de manutenção e um histórico confiável das edificações. ",Imóvel Inteligente,Informação,"Plataforma para gestão e automação de vistorias prediais, digitalizando processos e fornecendo histórico técnico confiável de edificações — inovação na manutenção preventiva e controle técnico.",
,GADUGI Reformas,"A Gadugi Reformas é uma constrututech que oferece serviços completos de gestão e execução de reformas de casas e apartamentos, desde o projeto até a entrega das chaves, com o objetivo de revitalizar imóveis e facilitar o processo para os proprietários. A empresa atua em São Paulo, oferecendo soluções personalizadas para o sonho do lar ideal. ",Imóvel Inteligente,Gestão,"Construtech especializada em reformas residenciais com gestão centralizada, oferecendo acompanhamento digital e padronização de processos — integração entre execução e gestão digital.",
,,,,,,
,Plin condomínios,"A Plin Condomínios é uma startup de tecnologia que oferece um ecossistema completo de soluções para administradoras de condomínios, visando simplificar e automatizar a gestão condominial. A empresa disponibiliza ferramentas tecnológicas, financeiras e informativas com o objetivo de tornar a administração mais eficiente e auxiliar no crescimento das administradoras do setor. ",Imóvel Inteligente,Gestão,"Plataforma digital que oferece um ecossistema tecnológico completo para administradoras de condomínios, automatizando finanças, comunicação e processos administrativos.",
,condofy,"A Condofy é uma startup brasileira focada em soluções digitais para a gestão de condomínios, atuando no setor de proptech, que usa a tecnologia para inovar e simplificar a administração de condomínios. Seu objetivo é oferecer ferramentas que tornem a gestão mais eficiente e transparente, utilizando a tecnologia para facilitar a comunicação, o controle financeiro e a organização de serviços, conforme é comum em startups. ",Imóvel Inteligente,Gestão,"Startup de gestão digital condominial, com foco em eficiência, comunicação e transparência — ferramenta para digitalização da vida condominial e administrativa.",
